ID,Layer,Relay,HasSubMenu,CmdC,CmdE,CmdI,CmdV,ShortCut,CallTimes,BodyMap,Stage,AudC,AudE,AudI,AudV,Note1,Note2,Note3
42,WARNINGON,警告音開關,SETUP,開啟,turn on Warnning Sound,menyalakan/ on,Mở âm cảnh báo,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
43,WARNINGOFF,警告音開關,SETUP,關閉,turn off Warnning Sound,matikan/ off,Tắt âm cảnh báo,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
44,MOVEFAST,移動速度,SETUP,快速,High speed,cepat,Tốc độ nhanh,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
45,MOVENORMAL,移動速度,SETUP,正常,Normal speed,normal,Tốc độ Bình thường,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
46,MOVESLOW,移動速度,SETUP,慢速,Slow speed,lambat,Tốc độ chậm,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
47,COUNTFAST,讀秒速度,SETUP,1秒(快速),fast,1detik(cepat),1 giây (nhanh),FALSE,4,FALSE,1,NULL,SORT,NULL,NULL,,,
48,COUNTNORMAL,讀秒速度,SETUP,2秒(正常),Normal,2detik(normal),2 giây (Bình thường),FALSE,3,FALSE,1,NULL,SORT,NULL,NULL,,,
49,COUNTSLOW,讀秒速度,SETUP,3秒(慢速),slow,3detik(lambat),3 giây (chậm),FALSE,2,FALSE,1,NULL,SORT,NULL,NULL,,,
50,BACKLIGHT,背景顏色,SETUP,亮色調,Light,pengaturan cahaya(terang),sáng,FALSE,2,FALSE,1,NULL,SORT,NULL,NULL,,,
51,BACKDARK,背景顏色,SETUP,暗色調,Dark,pengaturan cahaya(gelap),tối,FALSE,2,FALSE,1,NULL,SORT,NULL,NULL,,,
52,MODELMALE,人物選擇,SETUP,男,Male,laki-laki/ pria,Nam,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
53,MODELFEMALE,人物選擇,SETUP,女,Female,wanita/perempuan,Nữ,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
54,TTSDOUBLE,語音調整,SETUP,中英對照,Chinese and English,dwibahasa (mandarin-inggris),Song ngữ Trung - Anh,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
55,TTSONE,語音調整,SETUP,只說中文,Chinese Only,hanya berbahasa mandarin,Tiếng Trung,FALSE,1,FALSE,1,NULL,SORT,NULL,NULL,,,
56,SUBONE,字幕語言,SETUP,印尼文,indonesian,bahasa indonesia,Tiếng Indonesia,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
57,SUBTWO,字幕語言,SETUP,越南文,vietnamese,bahasa vietnam,Tiếng Việt,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
58,VOLUMES,音量調整,SETUP,小音量,small sound volume,suara (kecil),Điều chỉnh âm lượng (nhỏ),FALSE,2,FALSE,1,NULL,SORT,NULL,NULL,,,
59,VOLUMEM,音量調整,SETUP,中音量,medium sound volume,suara (sedang),Điều chỉnh âm lượng (vừa),FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
60,VOLUMEL,音量調整,SETUP,大音量,loud sound volume,suara(besar),Điều chỉnh âm lượng(to),FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
61,,病程,SETUP,中度,moderate,moderat / menengah,Vừa phải,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
62,,病程,SETUP,重度,severe,parah,Nghiêm trọng. Khắt khe (Trong thái độ),FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
63,,病程,SETUP,氣切,tracheostomy,trakeostomi,Mở khí quản,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
64,,情緒表達,FACE,正常表情,normal,ekspresi normal,Bình thường,FALSE,0,FALSE,1,NULL,NULL,,,,,
65,,情緒表達,FACE,笑臉,smile,tersenyum,Cười,FALSE,0,FALSE,1,NULL,NULL,,,,,
66,,情緒表達,FACE,哭哭,cry,menangis,khóc,FALSE,0,FALSE,1,NULL,NULL,,,,,
67,,情緒表達,FACE,驚訝,surprise,kaget,Ngạc nhiên,FALSE,2,FALSE,1,NULL,SORT,,,,,
68,,情緒表達,FACE,不舒服,Uncomfortable,tidak enak badan,Không thoải mái,FALSE,0,FALSE,1,NULL,NULL,,,,,
69,,情緒表達,FACE,表達感謝,thanks,berterima kasih,Cảm ơn,FALSE,0,FALSE,1,NULL,NULL,,,,,
70,,身體感覺,,癢,Itchy,gatal,Ngứa,TRUE,3,TRUE,1,NULL,SORT,我感覺,I Feel,身體地圖,疼痛量表,
71,,身體感覺,YES,痛,Pain,rasa sakit,Đau đớn,TRUE,0,TRUE,1,NULL,NULL,我感覺,I Feel,身體地圖,疼痛量表,疼痛類型
72,,身體感覺,,麻,Numb,mati rasa,Cảm giác tê,FALSE,7,TRUE,1,NULL,SORT,我感覺,I Feel,身體地圖,疼痛量表,
73,,身體感覺,,累,Tired,rasa lelah,Cảm thấy mệt,FALSE,0,TRUE,1,NULL,NULL,我感覺,I Feel,身體地圖,疼痛量表,
74,,身體感覺,,冷,Cold,dingin,Lạnh,FALSE,1,TRUE,1,NULL,SORT,我感覺,I Feel,身體地圖,疼痛量表,
75,,身體感覺,,熱,Hot,panas,Cảm thấy nóng,FALSE,1,TRUE,1,NULL,SORT,我感覺,I Feel,身體地圖,疼痛量表,
76,,身體感覺,,肌肉酸,Muscle soreness,"otot pegal""/sakit",Mỏi cơ,FALSE,1,TRUE,1,NULL,SORT,我感覺,I Feel,身體地圖,疼痛量表,
77,,身體感覺,ACT,喘,dyspnea,asma,Bệnh hen suyễn,FALSE,0,FALSE,1,NULL,NULL,我感覺,I Feel,身體地圖,疼痛量表,
78,,身體感覺,ACT,不明的不舒服,Unknown,merasa tidak nyaman/ tidak enak badan,Không biết ; Không được nhận ra,FALSE,0,FALSE,1,NULL,NULL,我感覺,I Feel,身體地圖,疼痛量表,
79,,移動,YES,外出,go out,keluar/pergi,Ra ngoài,FALSE,0,FALSE,1,NULL,NULL,,,,,
80,,移動,YES,回家,go home,pulang ke rumah,Về nhà,FALSE,0,FALSE,1,NULL,NULL,,,,,
81,,外出,ACT,出遊,travelling,jalan-jalan,Đi du lịch,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
82,,外出,ACT,去公園,go to park,pergi ke taman,Ra công viên,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
83,,外出,ACT,去復健,rehabilitation,pergi rehabilitasi,Tham gia phục hồi chức năng,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
84,,外出,ACT,去協會,go to association,pergi ke asosiasi,Tham gia đoàn hội,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
85,,外出,ACT,去醫院,go to hospital,pergi ke rumah sakit,Đi khám bệnh,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
86,,回家,ACT,去書房,go to study room,pergi ke ruang belajar,Đến phòng đọc sách,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
87,,回家,ACT,回房間,go to bedroom,kembali ke kamar,Về phòng ngủ,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
88,,回家,ACT,到客廳,go to living room,ruang keluarga,Đến phòng khách,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
89,,調整姿勢,ACT,調整坐姿,Adjustsitting position,mengatur posisi duduk,Điều chỉnh vị trí ngồi,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
90,,調整姿勢,ACT,調整頭部,Adjusthead possition,mengatur posisi kepala,Điều chỉnh độ cao của đầu,FALSE,1,FALSE,1,NULL,SORT,NULL,NULL,,,
91,,調整姿勢,ACT,翻身,turn over,balik badan,Xoay người,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
92,,特別狀況,ACT,緊急叫人,emergency call,panggilan darurat,Cuộc gọi khẩn cấp,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
93,,特別狀況,ACT,身體插管處疼痛,pain in stoma,sakit akibat selang intubasi,Đau tại nơi đặt nội khí quản,FALSE,0,FALSE,1,NULL,NULL,我感覺,I Feel,,,
94,,特別狀況,ACT,抽痰,suction,sedot dahak,Hút đờm,FALSE,2,FALSE,1,NULL,SORT,NULL,NULL,,,
95,,特別狀況,ACT,使用呼吸器,useventilator,penggunaan alat pernafasan,Sử dụng máy thở oxi,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
96,,特別狀況,ACT,消化不良，腹脹,poor digestion,pencernaan tidak lancar/ perut kembung,Khó tiêu. đầy bụng,FALSE,0,FALSE,1,NULL,NULL,我感覺,I Feel,,,
97,,特別狀況,ACT,便秘處理,constipation,sembelit,Táo bón,FALSE,0,FALSE,1,NULL,NULL,我需要,I Need to,,,
98,,特別狀況,ACT,腹瀉處理,diarrhea,diare,Bệnh tiêu chảy,FALSE,0,FALSE,1,NULL,NULL,我需要,I Need to,,,
99,,特別狀況,ACT,鼻塞,Nasal congestion,hidung tersumbat,Nghẹt mũi,FALSE,0,FALSE,1,NULL,NULL,我感覺,I Feel,,,
100,,特別狀況,ACT,流鼻水,Running nose,ingusan,Sổ mũi/ Chảy nước mũi,FALSE,0,FALSE,1,NULL,NULL,我感覺,I Feel,,,
101,,特別狀況,ACT,喉嚨痛,Sore throat,sakit tenggorokan,Đau họng,FALSE,0,FALSE,1,NULL,NULL,我感覺,I Feel,,,
102,,娛樂,YES,電視調整,adjust TV,mengatur Saluran TV,Điều chỉnh TV,TRUE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
103,,娛樂,ACT,看電影,watch movies,nonton film,Xem TV,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
104,,娛樂,ACT,電視劇,watch TV series,drama tv,Xem phim,FALSE,3,FALSE,1,NULL,SORT,NULL,NULL,,,
105,,娛樂,ACT,使用電腦,use computer,penggunaan komputer,Sử dụng máy tính,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
106,,娛樂,ACT,使用手機,use smartphone,penggunaan handphone,Sử dụng điện thoại,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
107,,娛樂,ACT,聽音樂,listen tothemusic,mendengarkan musik,Nghe nhạc,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
108,,娛樂,ACT,寫文章,write articles,menulis artikel,Viết bài báo,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
109,,娛樂,ACT,畫畫,paint,menggambar,Vẽ,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
110,,娛樂,ACT,上網,surf the Internet,akses Internet,Truy cập internet,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
111,,娛樂,ACT,打電動,playing video games,bermain game,Chơi điện tử,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
112,,日常生活,ACT,拍痰,percussion,tepuk punggung utk melancarkan dahak,Việc gõ ( để chuẩn đoán bệnh),FALSE,1,FALSE,1,NULL,SORT,NULL,NULL,,,
113,,日常生活,ACT,抓癢,scratch itch,menggaruk gatal,Gãi,TRUE,1,FALSE,1,NULL,SORT,我需要,I Need to,,,
114,,日常生活,,按摩,Massage,pijat,Xoa bóp,FALSE,0,TRUE,1,NULL,NULL,NULL,NULL,,,
115,,日常生活,ACT,上床睡覺,go to bed,pergi ke tempat tidur,Đi ngủ,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
116,,個人衛生,YES,清潔,clean,membersihkan,Dọn dẹp,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
117,,個人衛生,YES,上廁所,go to the toilet,pergi ke kamar kecil,Đi vệ sinh,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
118,,個人衛生,YES,整理儀容,change my outfits,merapihkan penampilan,Thay trang phục,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
119,,清潔,ACT,洗澡,take a shower/bath,mandi,Tắm rửa,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
120,,清潔,ACT,洗手,wash hands,cuci tangan,Rửa tay,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
121,,清潔,ACT,洗腳,wash feet,cuci kaki,Rửa chân,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
122,,清潔,ACT,洗頭,wash hair,cuci rambut,Gội đầu,FALSE,1,FALSE,1,NULL,SORT,NULL,NULL,,,
123,,清潔,ACT,洗臉,wash face,cuci muka,Rửa mặt,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
124,,清潔,ACT,刷牙,wash teeth,sikat gigi,Đánh răng,FALSE,2,FALSE,1,NULL,SORT,NULL,NULL,,,
125,,清潔,ACT,清潔眼,clean eyes,membersihkan mata,Vệ sinh mắt,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
126,,清潔,ACT,清潔耳,clean ears,membersihkan telinga,Vệ sinh tai,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
127,,清潔,ACT,清潔鼻,clean nose,membersihkan hidung,Vệ sinh mũi,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
128,,清潔,ACT,清潔口,clean mouth,membersihkan mulut,Vệ sinh miệng,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
129,,上廁所,ACT,換尿布,change diaper,mengganti popok,Thay bỉm tã,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
130,,上廁所,ACT,大號,poo,berak,Đại tiện,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
131,,上廁所,ACT,小號,piss,kencing,Tiểu tiện,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
132,,整理儀容,ACT,換衣服,change clothes,mengganti pakaian,Thay quần áo,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
133,,整理儀容,ACT,梳頭,comb hair,menyisir rambut,Chải đầu,TRUE,1,FALSE,1,NULL,SORT,NULL,NULL,,,
134,,整理儀容,ACT,照鏡子,mirror,mengaca,Soi gương,FALSE,1,FALSE,1,NULL,SORT,NULL,NULL,,,
135,,整理儀容,ACT,理髮,haircut,potong rambut,Cắt tóc,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
136,,整理儀容,ACT,修剪指甲,cut nails,gunting kuku,Cắt móng tay,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
137,,整理儀容,ACT,修剪鼻毛,cut nose hair,gunting bulu hidung,Tỉa lông mũi,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
138,,整理儀容,ACT,刮鬍子,shave,mencukur,Cạo râu,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
139,,飲食,ACT,吃飯,eat,makan,Ăn,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
140,,飲食,ACT,吃其他,other food,makan yang lain,Thực phẩm khác,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
141,,飲食,ACT,喝水,drink water,minum air,Uống nước,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
142,,飲食,ACT,喝其他,other drinks,minum sesuatu,Thức uống khác,FALSE,1,FALSE,1,NULL,SORT,NULL,NULL,,,
143,,藥物,,擦藥,put some medcine,mengoles obat,Bôi thuốc,FALSE,0,TRUE,1,NULL,NULL,我需要,I Need to,身體地圖,,
144,,藥物,ACT,吃藥,take medicine,minum obat,Uống thuốc,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
145,,藥物,ACT,眼藥,eye drops,obat tetes mata,Thuốc nhỏ mắt,FALSE,0,FALSE,1,NULL,NULL,我需要,I Need to,,,
146,,痛,,刺痛,prickle / sharp,perih,Đau nhói (như kim châm),FALSE,1,TRUE,1,NULL,SORT,我感覺,I Feel,,,
147,,痛,,抽痛,throbbing,meriang,Đau nhói,FALSE,0,TRUE,1,NULL,NULL,我感覺,I Feel,,,
148,,痛,,悶痛,dull pain,sakit sesak spt sesak di dada/ sakit di perut (bkn krn bab),Đau âm ỉ,FALSE,0,TRUE,1,NULL,NULL,我感覺,I Feel,,,
149,,痛,,酸痛,sore,nyeri otot,Đau mỏi,FALSE,0,TRUE,1,NULL,NULL,我感覺,I Feel,,,
150,,痛,,脹痛,bursting,kembung,Mót đi tiểu,FALSE,0,TRUE,1,NULL,NULL,我感覺,I Feel,,,
151,,痛,,抽筋,cramp,kram,Chuột rút,FALSE,0,TRUE,1,NULL,NULL,我感覺,I Feel,,,
152,,痛,,無法形容,indescrible,susah utk di ungkapkan,Không thể diễn tả,FALSE,0,TRUE,1,NULL,NULL,我感覺,I Feel,,,
153,,表達痛、癢程度,,沒感覺/平常,No,"tidak merasakan apa""/ normal",Không cảm giác/ Bình thường,FALSE,0,TRUE,1,NULL,NULL,NULL,NULL,,,
154,,表達痛、癢程度,,一點點,Mild,sedikit,Nhẹ,FALSE,0,TRUE,1,NULL,NULL,NULL,NULL,,,
155,,表達痛、癢程度,,輕微,Moderate,sedang,Vừa phải,FALSE,0,TRUE,1,NULL,NULL,NULL,NULL,,,
156,,表達痛、癢程度,,很,Severe,sangat,Rất,FALSE,0,TRUE,1,NULL,NULL,NULL,NULL,,,
157,,表達痛、癢程度,,非常,Very Severe,sangat parah,Hết sức,FALSE,0,TRUE,1,NULL,NULL,NULL,NULL,,,
158,,表達痛、癢程度,,難以忍受,intolerant,susah utk di tahan,Không thể chịu được,FALSE,0,TRUE,1,NULL,NULL,NULL,NULL,,,
159,,電視調整,ACT,轉上一台,previous channel,ganti saluran (sebelumnya),Kênh trước,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
160,,電視調整,ACT,轉下一台,next channel,ganti saluran (selanjutnya),kênh sau,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
161,,電視調整,ACT,大聲一點,Volume up,besarkan suara sedikit,Cho to tiếng,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
162,,電視調整,ACT,小聲一點,Volume down,kecilkan suara sedikit,Cho nhỏ tiếng,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
163,,電視調整,ACT,開電視,Turn On TV,buka tv,Mở TV,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
164,,電視調整,ACT,關電視,Turn Off TV,matikan tv,Tắt TV,FALSE,0,FALSE,1,NULL,NULL,NULL,NULL,,,
165,,說話聊天,YES,自我介紹,self-introduction,perkenalkan diri,Giới thiệu bản thân,FALSE,0,FALSE,1,NULL,NULL,,,,,
166,,說話聊天,YES,門診,Clinic,rawat jalan,Bệnh viện tư hoặc chuyên khoa,FALSE,0,FALSE,1,NULL,NULL,,,,,
167,,說話聊天,ACT,你好嗎？,How do you do?,"kamu baik"" saja?",Bạn có khỏe không?,FALSE,0,FALSE,1,NULL,NULL,,,,,
168,,說話聊天,ACT,今天過得如何？,How about today?,bagaimana keadaanmu hari ini,Ngày hôm nay của bạn như thế nào?,FALSE,0,FALSE,1,NULL,NULL,,,,,
169,,說話聊天,ACT,吃飽沒？,Have you eaten food?,sudah makan?,Bạn ăn cơm gì chưa ?,FALSE,0,FALSE,1,NULL,NULL,,,,,
170,,說話聊天,ACT,早安,Good Morning,selamat pagi,Chào buổi sáng,FALSE,0,FALSE,1,NULL,NULL,,,,,
171,,說話聊天,ACT,午安,Good Afternoon,selamat siang,Chào buổi trưa,FALSE,0,FALSE,1,NULL,NULL,,,,,
172,,說話聊天,ACT,晚安,Good Night,selamat malam,Chúc ngủ ngon,FALSE,0,FALSE,1,NULL,NULL,,,,,
173,,說話聊天,ACT,你好,Hello,apa kabar?,Xin chào,FALSE,0,FALSE,1,NULL,NULL,,,,,
174,,說話聊天,ACT,辛苦你了,thanks for your help,terima kasih. hari ini anda telah bekerja keras,Cám ơn về sự giúp đỡ của bạn,FALSE,0,FALSE,1,NULL,NULL,,,,,
175,,說話聊天,ACT,非常感謝你,Very Grateful,sangat berterima kasih,rất biết ơn,FALSE,0,FALSE,1,NULL,NULL,,,,,
176,,說話聊天,ACT,外面天氣如何？,How is the weather?,bagaimana keadaan cuaca di luar?,Hôm nay thời tiết ra sao?,FALSE,0,FALSE,1,NULL,NULL,,,,,
177,,說話聊天,ACT,可以陪我聊天嗎？,Could you please talk with me?,boleh temani aku ngobrol?,Bạn có thể trò chuyện cùng tôi không?,FALSE,0,FALSE,1,NULL,NULL,,,,,
178,,說話聊天,ACT,近來一切安好？,How is everything?,"apakah belakangan ini baik""saja?",Gần đây mọi thứ vẫn ổn chứ?,FALSE,0,FALSE,1,NULL,NULL,,,,,
179,,說話聊天,ACT,請多陪我一下,Please stay with me,tolong temani aku,Hãy ở bên tôi,FALSE,0,FALSE,1,NULL,NULL,,,,,
180,,說話聊天,ACT,等一下,Wait a moment please,tunggu sebentar,Đợi một chút,FALSE,0,FALSE,1,NULL,NULL,,,,,
181,,說話聊天,ACT,靠近一點,Come closer,dekatan,Lại gần hơn một chút,FALSE,0,FALSE,1,NULL,NULL,,,,,
182,,說話聊天,ACT,我不舒服,I'm not feeling well,saya tidak nyaman / tidak enak badan,Tôi cảm thấy không được khỏe,FALSE,0,FALSE,1,NULL,NULL,,,,,
183,,說話聊天,ACT,再見,Bye bye,"selamat tinggal/ bye""/ dada",Chào tạm biệt,FALSE,0,FALSE,1,NULL,NULL,,,,,
184,,表達意見,YES,表達方向,Direction,eksperikan arah,Biểu thị phương hướng / sự chỉ dẫn,TRUE,0,FALSE,1,NULL,NULL,,,,,
185,,表達意見,ACT,好啊,Yes,boleh/ ok,Vâng / Đồng ý,FALSE,0,FALSE,1,NULL,NULL,,,,,
186,,表達意見,ACT,不想,NO,tidak mau,Không,FALSE,0,FALSE,1,NULL,NULL,,,,,
